State/UT,Amount to be raised (Cr.),Amount Accepted (Cr.),Cut off Yield (%),Tenure (Year),Date,Url,Yield/Price
Andhra Pradesh,1000,1000.0,7.34,11,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Andhra Pradesh,1000,1000.0,7.31,20,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Haryana,1500,1500.0,7.33,12,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Jammu and Kashmir,500,500.0,7.28,30,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Kerala,1500,1500.0,7.32,17,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Mizoram,71,71.0,7.36,15,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Rajasthan,1500,1500.0,7.34,10,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Rajasthan,1000,1000.0,7.33,19,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Rajasthan,1500,1500.0,7.33,20,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Tamil Nadu,3000,3000.0,7.27,30,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Telangana,1000,1000.0,7.31,18,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
West Bengal,2000,2000.0,7.34,15,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
West Bengal,1500,1500.0,7.34,18,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Gujarat,2000,2000.0,7.23,03,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Haryana,1500,1500.0,7.36,10,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Jammu and Kashmir,500,500.0,7.33,27,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Punjab,1500,1500.0,7.39,09,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Rajasthan,2000,2000.0,7.38,09,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Telangana,1000,1000.0,7.35,12,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Telangana,1000,1000.0,7.35,14,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Haryana,1000,1000.0,7.38,10,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Jammu and Kashmir,500,500.0,7.35,25,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Puducherry,150,150.0,7.40,6,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Puducherry,100,100.0,7.38,14,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Punjab,1500,1500.0,7.41,10,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Tamil Nadu,2000,2000.0,7.39,8,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Uttarakhand,500,500.0,7.39,6,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Andhra Pradesh,1000,1000.0,7.43,18,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Andhra Pradesh,1000,1000.0,7.43,20,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Andhra Pradesh,1000,1000.0,7.43,22,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Andhra Pradesh,1000,1000.0,7.38,25,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Haryana,1500,1500.0,7.43,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Himachal Pradesh,500,500.0,7.44,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Himachal Pradesh,700,700.0,7.46,12,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Jammu and Kashmir,800,800.0,7.43,22,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Kerala,2000,2000.0,7.38,31,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Meghalaya,200,200.0,7.45,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Nagaland,300,300.0,7.45,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Punjab,1500,1500.0,7.48,11,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Punjab,1000,1000.0,7.47,13,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Rajasthan,1000,1000.0,7.43,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Rajasthan,1000,1000.0,7.45,16,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Tamil Nadu,1000,1000.0,7.43,08,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Tamil Nadu,2000,2000.0,7.44,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Telangana,1000,1000.0,7.44,16,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Telangana,1000,1000.0,7.43,19,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Andhra Pradesh,1000,1000.0,7.34,24,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Andhra Pradesh,1000,1000.0,7.34,25,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Assam,1000,1000.0,7.37,10,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Jammu and Kashmir,1000,1000.0,7.34,30,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Kerala,2000,2000.0,7.36,12,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Kerala,1500,1500.0,7.34,31,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Mizoram,200,200.0,7.37,15,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Punjab,1500,1500.0,7.37,12,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Rajasthan,1500,1500.0,7.37,10,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Rajasthan,1000,1000.0,7.36,13,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Rajasthan,1000,1000.0,7.37,15,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Rajasthan,1500,1500.0,7.34,21,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Tamil Nadu,1000,1000.0,7.34,05,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Tamil Nadu,2000,2000.0,7.38,09,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Tamil Nadu,2000,2000.0,7.38,10,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
West Bengal,2000,2000.0,7.37,16,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Andhra Pradesh,1000,1000.0,7.40,17,"May 21, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57934,Yield based
Andhra Pradesh,1000,1000.0,7.38,20,"May 21, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57934,Yield based
Haryana,1000,1000.0,7.42,10,"May 21, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57934,Yield based
Jammu and Kashmir,500,500.0,7.38,27,"May 21, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57934,Yield based
Manipur,200,200.0,7.43,12,"May 21, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57934,Yield based
Rajasthan,750,750.0,7.42,08,"May 21, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57934,Yield based
Rajasthan,750,750.0,7.41,10,"May 21, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57934,Yield based
Andhra Pradesh,500,500.0,7.45,09,"May 14, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57897,Yield based
Andhra Pradesh,500,500.0,7.45,16,"May 14, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57897,Yield based
Andhra Pradesh,1000,1000.0,7.42,21,"May 14, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57897,Yield based
Andhra Pradesh,1000,1000.0,7.42,22,"May 14, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57897,Yield based
Andhra Pradesh,1000,1000.0,7.41,23,"May 14, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57897,Yield based
Jammu and Kashmir,1000,1000.0,7.41,25,"May 14, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57897,Yield based
Punjab,500,500.0,7.47,08,"May 14, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57897,Yield based
Telangana,1000,1000.0,7.44,17,"May 14, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57897,Yield based
Andhra Pradesh,500,500.0,7.47,13,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Andhra Pradesh,500,500.0,7.46,14,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Andhra Pradesh,1000,1000.0,7.43,18,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Andhra Pradesh,500,500.0,7.42,19,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Andhra Pradesh,500,500.0,7.42,20,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Himachal Pradesh,700,700.0,7.47,09,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Meghalaya,200,200.0,7.48,10,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Punjab,1000,1000.0,100.26 / 7.4981,"Reissue of 7.53% Punjab SGS 2037 issued on May 02, 2024","May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Price based
Tamil Nadu,2000,2000.0,7.43,10,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Telangana,1000,1000.0,7.47,12,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Telangana,1000,1000.0,7.43,17,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Telangana,1000,1000.0,7.42,24,"May 07, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57855,Yield based
Andhra Pradesh,1000,1000.0,7.53,12,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Andhra Pradesh,1000,1000.0,7.51,17,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Andhra Pradesh,1000,1000.0,7.49,20,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Assam,1000,1000.0,7.54,10,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Haryana,1000,1000.0,7.52,10,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Kerala,2000,2000.0,7.47,26,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Punjab,1000,1000.0,7.54,08,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Punjab,1000,1000.0,7.53,12,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Punjab,700,700.0,7.53,13,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Rajasthan,1000,1000.0,7.52,10,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Rajasthan,1000,1000.0,7.52,13,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Rajasthan,1000,1000.0,7.52,15,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Rajasthan,1000,1000.0,7.49,20,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Tamil Nadu,1000,1000.0,7.49,20,"Apr 30, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57814,Yield based
Andhra Pradesh,1000,1000.0,7.50,08,"Apr 23, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57759,Yield based
Andhra Pradesh,1000,1000.0,7.49,16,"Apr 23, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57759,Yield based
Andhra Pradesh,1000,1000.0,7.48,20,"Apr 23, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57759,Yield based
Kerala,1000,1000.0,7.49,15,"Apr 23, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57759,Yield based
Punjab,1500,1500.0,7.55,08,"Apr 23, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57759,Yield based
Punjab,1000,1000.0,7.51,13,"Apr 23, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57759,Yield based
Tamil Nadu,2000,2000.0,7.50,07,"Apr 23, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57759,Yield based
Tamil Nadu,2000,2000.0,7.49,10,"Apr 23, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57759,Yield based
Telangana,1500,1500.0,7.48,18,"Apr 23, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57759,Yield based
Haryana,1000,1000.0,7.48,10,"Apr 16, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57709,Yield based
Uttarakhand,900,900.0,7.50,5,"Apr 16, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57709,Yield based
Assam,1000,1000.0,7.50,10,"Apr 08, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57658,Yield based
Maharashtra,2000,2000.0,7.45,17,"Apr 08, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57658,Yield based
Maharashtra,2000,2000.0,7.44,18,"Apr 08, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57658,Yield based
Telangana,1000,1000.0,7.44,27,"Apr 08, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57658,Yield based
Telangana,500,500.0,7.44,29,"Apr 08, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57658,Yield based
Andhra Pradesh,500,500.0,7.39,06,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Andhra Pradesh,1000,1000.0,7.46,17,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Andhra Pradesh,500,500.0,7.46,18,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Andhra Pradesh,1000,1000.0,7.46,19,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Andhra Pradesh,1000,1000.0,7.46,20,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Himachal Pradesh,1000,1000.0,7.45,20,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Maharashtra,2000,2000.0,7.43,15,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Maharashtra,2000,2000.0,7.44,17,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Maharashtra,2000,2000.0,7.44,18,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Meghalaya,100,100.0,7.46,10,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Punjab,1500,1500.0,7.49,08,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Punjab,1500,1500.0,7.48,13,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Tamil Nadu,1000,1000.0,7.42,10,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Telangana,1000,1000.0,7.44,12,"Apr 02, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57610,Yield based
Assam,500,500.0,7.46,07,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Chhattisgarh,1000,1000.0,7.47,08,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Chhattisgarh,1000,1000.0,7.47,09,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Chhattisgarh,1000,1000.0,7.47,10,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Chhattisgarh,1000,1000.0,7.49,11,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Goa,150,150.0,7.52,15,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Haryana,4000,4000.0,7.49,11,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Himachal Pradesh,672,672.0,7.52,15,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Jammu and Kashmir,404.49,404.49,7.51,30,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Karnataka,1000,1000.0,7.42,08,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Karnataka,2000,2000.0,7.44,09,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Kerala,1500,1500.0,7.49,12,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Kerala,1366,1366.0,7.53,26,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Kerala,2000,2000.0,7.54,31,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Maharashtra,2000,2000.0,7.45,15,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Maharashtra,2000,2000.0,7.46,17,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Maharashtra,2000,2000.0,7.48,18,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Maharashtra,2000,2000.0,7.50,20,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Manipur,126,126.0,7.50,12,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Puducherry,100,100.0,100.87/7.4001,"Reissue of 7.63% Puducherry SDL 2028 issued on October 25, 2017","Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Price based
Rajasthan,996,996.0,7.47,09,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Rajasthan,1000,1000.0,7.44,10,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Rajasthan,1500,1500.0,7.49,16,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Rajasthan,1500,1500.0,7.52,20,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Tamil Nadu,2000,2000.0,7.43,10,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Tamil Nadu,4000,4000.0,7.50,30,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Telangana,1718,1718.0,7.48,26,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Uttar Pradesh,2500,2500.0,7.49,12,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Uttar Pradesh,2500,2500.0,7.51,14,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Uttar Pradesh,2500,2500.0,7.52,15,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Uttar Pradesh,3000,3000.0,7.51,16,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Uttarakhand,1000,1000.0,7.36,02,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
West Bengal,2500,2500.0,7.52,15,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
West Bengal,2500,2500.0,7.53,20,"Mar 26, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57564,Yield based
Assam,1000,1000.0,7.47,10,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Chhattisgarh,1000,1000.0,7.46,8,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Chhattisgarh,1000,1000.0,7.47,9,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Chhattisgarh,1000,1000.0,7.47,10,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Goa,100,100.0,7.47,10,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Haryana,2000,2000.0,7.45,11,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Jammu and Kashmir,200,200.0,7.47,20,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Karnataka,2000,2000.0,7.45,11,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Karnataka,2000,2000.0,7.45,13,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Karnataka,2000,2000.0,7.46,14,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Kerala,2000,2000.0,7.42,25,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Kerala,1742,1742.0,7.42,40,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
Maharashtra,3000,3000.0,7.45,13,"Mar 19, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57517,Yield based
